Frames,CPU_freq,CPU_cores_percent,memory,cache_miss,instructions,cycles,temperature,swap,core_demands,RAM_demands,cpi,time
40,3600,1,85,12817717,1741573049,1364340104,27.8,5388,1.4,90,0.783395279,7.225073127
40,3600,1,90,12415742,1740951490,1357194679,27.8,0,1.4,90,0.779570647,6.669926902
40,3600,1.2,70,12745184,1741970398,1363208957,27.8,38400,1.4,90,0.782567235,7.949033935
40,3600,1.2,75,12497300,1740135730,1358573655,27.8,29196,1.4,90,0.780728556,7.136675453
40,3600,1.2,80,12794946,1741096165,1358046024,27.8,13836,1.4,90,0.77999484,7.55360169
40,3600,1.2,85,12968498,1739616956,1369882464,27.8,5388,1.4,90,0.787462125,6.958387
40,3600,1.2,90,12845125,1742062869,1365131557,27.8,0,1.4,90,0.783629329,6.578980483
40,3600,1.4,70,12923734,1740691800,1365488703,27.8,47060,1.4,90,0.784451735,8.2480578
40,3600,1.4,75,12421457,1740549461,1365767933,27.8,17788,1.4,90,0.784676313,7.397379812
40,3600,1.4,80,12929277,1742340968,1372431269,27.8,41916,1.4,90,0.787693852,7.590169316
40,3600,1.4,85,12804468,1741946188,1366061583,27.8,5388,1.4,90,0.784215719,6.767105317
